ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_00406,mcpQ_2,-5.211622642,8.313140748,-22.65950008,8.30504322015381e-27,3.52707101004585e-25,50.68055305
BJEIHDPM_02158,cirA_1,-4.767036746,7.954173636,-22.64067574,8.60583759477936e-27,3.62275566818826e-25,50.63299923
BJEIHDPM_01429,inference=ab initio prediction:Prodigal:2.6,-5.266008605,8.107617952,-22.63431481,8.70997086521252e-27,3.63470871149173e-25,50.60562166
BJEIHDPM_04773,3.2.1.-,-5.44578952,7.364175122,-22.62012997,8.9468393353941e-27,3.67434214984652e-25,50.3710187
BJEIHDPM_00270,4.2.2.5,-5.062597801,8.767467409,-22.61946665,8.95807525592921e-27,3.67434214984652e-25,50.71264689
BJEIHDPM_02679,fecB,-5.292512861,6.781640506,-22.54621195,1.02918359799019e-26,4.18563736165672e-25,50.10991594
BJEIHDPM_03119,inference=ab initio prediction:Prodigal:2.6,-5.067499056,7.599055443,-22.51255348,1.09709409858266e-26,4.4201458101184e-25,50.28797868
BJEIHDPM_00474,3.4.21.-,-5.25045605,8.786962019,-22.50731409,1.10806901690226e-26,4.4201458101184e-25,50.49751809
BJEIHDPM_02958,inference=ab initio prediction:Prodigal:2.6,-4.710477708,8.465377276,-22.50417793,1.11469180813576e-26,4.4201458101184e-25,50.48550726
BJEIHDPM_01333,3.1.4.52,-5.019877236,7.936671263,-22.49978776,1.12403059256596e-26,4.4201458101184e-25,50.35689491
BJEIHDPM_01731,alsT,-5.088899241,8.43698657,-22.49565329,1.13289838433958e-26,4.4201458101184e-25,50.43152588
BJEIHDPM_01776,2.3.1.-,-4.987186675,7.907448364,-22.47840066,1.17067926599515e-26,4.53071757863769e-25,50.31160145
BJEIHDPM_01414,1.2.1.68,-5.252536674,7.737671517,-22.38270081,1.4048551907785e-26,5.39352004843683e-25,50.0769684
BJEIHDPM_02991,inference=ab initio prediction:Prodigal:2.6,-5.30907674,7.935713099,-22.36905636,1.44193476144181e-26,5.49194041282482e-25,50.06981862
BJEIHDPM_01637,3.6.4.12,-4.856438264,7.940996553,-22.32889596,1.55697001785097e-26,5.88338513044632e-25,50.05689553
BJEIHDPM_02349,1.3.8.-,-5.373212801,7.327608428,-22.30584566,1.62717935927598e-26,6.10065136341051e-25,49.82973616
BJEIHDPM_02404,inference=ab initio prediction:Prodigal:2.6,-5.194840103,7.950610172,-22.27358061,1.73091566345995e-26,6.4392746270886e-25,49.91548617
